05h34m55.44s -05d33m31.54s,0.2309,0.7639,Gasious Substrate Schema,16.45,MATCH: 2MASS J05345636-0533404 (Or*),,
05h36m03.88s -05d18m23.27s,0.1944,156.6993,Minkowskian Baseline,7.26,MATCH: 2MASS J05360343-0518258 (*),,
05h34m46.70s -05d04m50.52s,0.3605,136.7442,Localized Torsional Inflection,4.11,MATCH: 2MASS J05344659-0504467 (*),,
05h34m58.46s -05d24m42.80s,0.2283,134.6184,Gasious Substrate Schema,16.19,MATCH: [L2024] ONC J083.74284-05.41632 (LM*),,
05h34m39.31s -05d41m33.81s,0.1844,139.0314,Minkowskian Baseline,28.5,MATCH: [KFP2017] Orion A 835 (cor),,
05h36m21.77s -05d28m44.72s,0.4156,103.1205,Trefoil Metric Schema,15.57,MATCH: [SRB2015] p102 (Y*O),,
05h34m11.55s -05d12m41.97s,0.2898,12.6728,Solenoidal Metric Schema (Iron),17.45,MATCH: 2MASS J05341108-0512582 (*),,
05h34m29.72s -05d16m10.47s,0.5635,2.2135,Metric Spacetime Anomaly,31.8,MATCH: 2MASS J05343135-0515502 (Or*),,
05h35m48.37s -05d43m38.47s,0.447,36.2837,Trefoil Metric Schema,59.47,MATCH: [SKN2015] AzTEC-Ori 417 (mm),,
05h34m28.47s -05d24m24.50s,0.4551,35.475,Metric Spacetime Anomaly,10.8,MATCH: 1RXS J053428.3-052414 (ISM),,
05h35m30.92s -05d27m44.56s,0.2117,99.2858,Minkowskian Baseline,5.66,MATCH: [AD95]  765 (*),,
05h35m11.96s -05d27m28.90s,0.2271,6.1102,Gasious Substrate Schema,3.35,MATCH: 2MASS J05351178-0527309 (Y*O),,
05h35m50.44s -05d22m37.50s,0.4194,134.2169,Trefoil Metric Schema,21.37,MATCH: [KSP2003] J053549.27-052225.2 (*),,
05h34m32.68s -05d29m24.95s,0.3565,534.1909,Localized Torsional Inflection,12.45,MATCH: [H97b] 20965 (*),,
05h34m52.92s -05d38m08.87s,0.2413,297.5246,Gasious Substrate Schema,34.8,MATCH: [SKN2015] AzTEC-Ori 187 (cor),,
05h34m54.36s -05d21m58.67s,0.3265,105.3045,Helical Metric Schema,8.87,MATCH: COUP J053454.3-052207 (X),,
05h36m29.80s -05d18m55.50s,0.2077,59.6804,Minkowskian Baseline,32.23,MATCH: [AD95] 1201 (*),,
05h35m13.67s -05d40m54.27s,0.6525,59.2875,Metric Spacetime Anomaly,18.04,MATCH: [DRS2009] 1985 (*),,
05h35m07.31s -05d25m41.79s,0.3115,0.1749,Solenoidal Metric Schema (Iron),6.48,MATCH: 2MASS J05350739-0525481 (Or*),,
05h36m04.24s -05d14m36.11s,0.2058,80.8204,Minkowskian Baseline,20.69,MATCH: [AD95] 1778 (*),,
05h34m36.05s -05d44m00.12s,0.6009,85.1055,Metric Spacetime Anomaly,13.61,MATCH: 2MASS J05343561-0543481 (Y*O),,
05h34m50.07s -05d31m30.26s,0.4078,77.1682,Trefoil Metric Schema,17.08,MATCH: 2MASS J05344892-0531315 (Or*),,
05h35m22.50s -05d35m20.82s,0.2587,16.8479,Gasious Substrate Schema,6.71,MATCH: [RRS2008] 222-3155 (*),,
05h35m12.37s -05d43m02.47s,0.329,36.7759,Helical Metric Schema,16.09,MATCH: V* V486 Ori (TT*),,
05h34m09.77s -05d25m56.81s,0.6486,138.2153,Metric Spacetime Anomaly,40.24,MATCH: V* V395 Ori (Or*),,
05h36m21.65s -05d23m32.99s,0.3902,257.769,Trefoil Metric Schema,17.45,MATCH: [H97b] 21330 (*),,
05h33m59.93s -05d37m32.01s,0.2879,40.9295,Solenoidal Metric Schema (Iron),43.86,MATCH: [DRS2009] 2391 (*),,
05h34m44.92s -05d43m57.32s,0.2986,76.3587,Solenoidal Metric Schema (Iron),18.11,MATCH: V* V770 Ori B (*),,
05h34m35.40s -05d27m13.30s,0.3596,97.2474,Localized Torsional Inflection,23.47,MATCH: [SKN2015] AzTEC-Ori 151 (mm),,
05h35m03.30s -05d08m26.51s,0.3901,4.8217,Trefoil Metric Schema,13.07,MATCH: [JMO94]  26 (IR),,
05h36m11.09s -05d27m38.59s,0.2289,38.9688,Gasious Substrate Schema,16.88,MATCH: V* V1600 Ori (Or*),,
05h34m49.02s -05d09m32.15s,0.3507,109.7679,Helical Metric Schema,33.34,MATCH: 2MASS J05344828-0509006 (Ir*),,
05h33m40.11s -05d28m23.47s,0.2593,216.7636,Gasious Substrate Schema,64.21,MATCH: [SKN2015] C18O-Ori   1 (MoC),,
05h36m46.52s -05d24m06.15s,0.2863,13.1823,Solenoidal Metric Schema (Iron),32.86,MATCH: [TUK93]  70 (cor),,
05h34m14.61s -05d35m52.68s,0.5177,90.6461,Localized Torsional Inflection,19.28,MATCH: [AD95]  415 (Or*),,
05h35m33.51s -05d22m55.99s,0.2768,5.1255,Gasious Substrate Schema,12.95,MATCH: COUP J053533.8-052244 (X),,
05h34m26.72s -05d34m31.19s,0.2192,98.6903,Minkowskian Baseline,17.81,MATCH: [H97b] 21384 (Ir*),,
05h35m42.30s -05d04m22.67s,0.2816,152.1716,Solenoidal Metric Schema (Iron),16.84,MATCH: [SKN2015] C18O-Ori 217 (MoC),,
05h36m07.93s -05d38m07.39s,1.9609,62.7575,Spacetime Curvature Limit (Black Hole),20.01,MATCH: [H97b] 21579 (Ir*),,
05h34m38.77s -05d33m28.01s,0.312,101.9021,Localized Torsional Inflection,18.48,MATCH: 2MASS J05343801-0533426 (*),,
05h34m45.89s -05d05m49.27s,0.2041,397.1864,Minkowskian Baseline,29.13,MATCH: [TKT2002] I370 (X),,
05h34m17.10s -05d07m53.90s,0.2362,202.6443,Gasious Substrate Schema,11.79,MATCH: 2MASS J05341672-0508042 (*),,
05h35m58.37s -05d18m19.25s,1.3039,53.9975,Metric Spacetime Anomaly,12.72,MATCH: [SRB2015] p150 (Y*O),,
05h34m40.92s -05d36m12.79s,0.3761,184.4467,Trefoil Metric Schema,23.93,MATCH: [H97b] 21234 (*),,
05h35m29.82s -05d38m50.97s,1.0076,30.21,Baryonic Metric Substrate,23.16,MATCH: [H97b] 21258 (Ir*),,
05h35m44.49s -05d25m14.81s,0.1728,71.0806,Minkowskian Baseline,3.95,MATCH: [SKN2015] AzTEC-Ori 388 (mm),,
05h36m30.69s -05d06m28.33s,0.562,193.5477,Metric Spacetime Anomaly,33.17,MATCH: 2MASS J05362911-0506516 (*),,
05h35m01.45s -05d01m28.96s,0.2988,59.3044,Solenoidal Metric Schema (Iron),10.64,MATCH: [SKN2015] C18O-Ori  93 (MoC),,
05h35m46.53s -05d05m37.12s,0.2926,6.8122,Solenoidal Metric Schema (Iron),1.27,MATCH: [SKN2015] AzTEC-Ori 396 (mm),,
05h36m17.02s -05d27m12.82s,0.2385,67.0295,Gasious Substrate Schema,26.92,MATCH: [H97b] 11074 (V*),,
05h35m03.29s -05d11m40.34s,0.2522,98.4261,Gasious Substrate Schema,33.09,MATCH: [TUK93]  12 (PoC),,
05h35m20.25s -05d27m07.74s,0.3292,0.9904,Helical Metric Schema,0.92,MATCH: COUP J053520.2-052706 (X),,
05h34m00.05s -05d33m32.05s,0.2,37.7616,Minkowskian Baseline,18.11,MATCH: [DRS2009] 2137 (*),,
05h35m46.92s -05d04m05.40s,0.2055,27.1962,Minkowskian Baseline,24.64,MATCH: 2MASS J05354658-0503412 (NIR),,
05h34m58.16s -05d38m36.66s,0.1983,0.8305,Minkowskian Baseline,10.95,MATCH: V* V2092 Ori (Or*),,
05h35m03.50s -05d15m01.41s,0.2634,21.4468,Gasious Substrate Schema,22.66,MATCH: V* V2138 Ori (Or*),,
05h36m57.43s -05d19m48.41s,0.3744,31.4809,Trefoil Metric Schema,109.73,MATCH: 2MASS J05370408-0519016 (*),,
05h34m35.46s -05d27m49.09s,0.2767,95.0859,Gasious Substrate Schema,39.4,MATCH: 2MASS J05343382-0527181 (Or*),,
05h35m18.64s -05d05m03.36s,0.2555,24.7011,Gasious Substrate Schema,9.66,MATCH: [ISK2007] 145 (cor),,
05h35m26.68s -05d23m03.12s,0.2696,17.0991,Gasious Substrate Schema,4.12,MATCH: V* V2448 Ori (Or*),,
05h34m28.52s -05d01m26.97s,0.3172,5.6293,Solenoidal Metric Schema (Iron),28.02,MATCH: V* V1173 Ori (Or*),,
05h35m35.32s -05d09m11.24s,0.2119,14.933,Minkowskian Baseline,6.07,MATCH: [TKT2002] I380 (X),,
05h34m56.04s -05d12m58.23s,0.6775,47.2356,Metric Spacetime Anomaly,8.55,MATCH: [DRS2009] 2370 (*),,
05h34m05.97s -05d26m47.47s,0.2405,18.2414,Gasious Substrate Schema,7.56,MATCH: [SKN2015] AzTEC-Ori  89 (Y*O),,
05h33m59.54s -05d18m49.74s,0.4343,170.4375,Trefoil Metric Schema,26.66,MATCH: [DRS2009] 2315 (*),,
05h35m13.98s -05d15m55.41s,0.5441,12.9121,Metric Spacetime Anomaly,14.64,MATCH: [DRS2009] 2441 (WD?),,
05h35m17.87s -05d22m52.56s,0.2131,23.4037,Minkowskian Baseline,2.49,MATCH: DOH 12 180-251 (Y*O),,
05h33m55.46s -05d16m28.91s,0.2555,11.7097,Gasious Substrate Schema,33.21,MATCH: 2MASS J05335324-0516332 (*),,
05h35m11.94s -05d22m28.56s,0.2072,211.6789,Minkowskian Baseline,4.48,MATCH: MLLA  609 (LM*),,
05h33m43.83s -05d13m33.99s,0.3805,88.1757,Trefoil Metric Schema,38.41,MATCH: V* V729 Ori A (Or*),,
05h36m23.67s -05d20m19.03s,0.5524,332.4975,Localized Torsional Inflection,11.49,MATCH: 2MASS J05362440-0520206 (*),,
05h36m06.23s -05d06m23.36s,0.3038,126.7746,Solenoidal Metric Schema (Iron),11.54,MATCH: 2MASS J05360680-0506156 (TT*),,
05h34m43.99s -05d17m26.73s,0.2527,123.1035,Gasious Substrate Schema,43.59,MATCH: [SKN2015] AzTEC-Ori 177 (mm),,
05h34m56.12s -05d14m45.62s,0.3046,59.2624,Localized Torsional Inflection,10.71,MATCH: 2MASS J05345667-0514524 (Y*O),,
05h35m52.55s -05d36m02.74s,0.3374,14.1284,Helical Metric Schema,13.01,MATCH: [H97b] 21264 (*),,
05h36m14.49s -05d38m05.24s,0.2373,162.2088,Gasious Substrate Schema,30.32,MATCH: V* V827 Ori (Or*),,
05h34m43.40s -05d32m56.75s,0.2729,19.2788,Gasious Substrate Schema,19.26,MATCH: V* V2011 Ori (Or*),,
05h35m33.49s -05d43m40.61s,0.3292,106.38,Helical Metric Schema,31.06,MATCH: V* V1564 Ori (Or*),,
05h34m33.37s -05d18m12.15s,0.3681,27.8131,Trefoil Metric Schema,8.14,MATCH: 2MASS J05343284-0518145 (*),,
05h34m22.44s -05d22m18.94s,0.2498,66.8467,Gasious Substrate Schema,7.99,MATCH: 2MASS J05342239-0522269 (Or*),,
05h35m11.02s -05d06m59.48s,0.3292,32.1496,Helical Metric Schema,30.63,MATCH: V* V355 Ori (Or*),,
05h36m13.78s -05d22m01.90s,0.1829,3.9117,Minkowskian Baseline,10.96,MATCH: [CSK2007] 145-204 (?),,
05h34m48.51s -05d14m09.22s,0.2297,80.0632,Gasious Substrate Schema,10.42,MATCH: [H97b] 20864 (*),,
05h36m22.73s -05d04m43.79s,1.0041,30.2519,Baryonic Metric Substrate,65.79,MATCH: V* V1075 Ori (Or*),,
05h35m46.27s -05d09m07.71s,0.196,38.8306,Minkowskian Baseline,27.29,MATCH: IRAS 05332-0510 (IR),,
05h35m25.27s -05d45m13.60s,0.2837,0.1336,Solenoidal Metric Schema (Iron),14.37,MATCH: V* V2446 Ori (Or*),,
05h35m28.87s -05d30m07.39s,0.187,284.8893,Minkowskian Baseline,6.91,MATCH: HH  560N1 (HH),,
05h36m22.92s -05d20m05.43s,0.2267,14.3423,Gasious Substrate Schema,25.14,MATCH: [H97b] 11114 (Ir*),,
05h34m18.28s -05d15m43.91s,0.252,261.4836,Gasious Substrate Schema,20.16,MATCH: 2MASS J05341873-0515250 (*),,
05h35m22.67s -05d17m26.78s,0.3008,58.4362,Solenoidal Metric Schema (Iron),7.48,MATCH: 2MASS J05352237-0517329 (Y*O),,
05h35m20.25s -05d08m17.20s,0.1662,106.6967,Minkowskian Baseline,17.27,MATCH: [ISK2007] 157 (cor),,
05h35m57.41s -05d06m38.70s,0.9455,34.0411,Baryonic Metric Substrate,18.26,MATCH: TKK  1361 (IR),,
05h33m48.92s -05d14m10.04s,0.3832,99.0683,Localized Torsional Inflection,9.78,MATCH: [SKN2015] AzTEC-Ori  64 (mm),,
05h34m31.49s -05d18m12.44s,0.2694,90.8918,Gasious Substrate Schema,20.43,MATCH: 2MASS J05343284-0518145 (*),,
05h35m30.43s -05d18m16.04s,0.2999,50.2461,Solenoidal Metric Schema (Iron),7.46,MATCH: 2MASS J05353091-0518179 (Or*),,
05h35m13.61s -05d08m22.76s,0.3376,34.8463,Helical Metric Schema,17.11,MATCH: [TKT2002] I95 (X),,
05h35m10.14s -05d16m52.71s,0.298,61.383,Solenoidal Metric Schema (Iron),4.24,MATCH: [NW2007] OrionAN-0535104-51651 (Y*?),,
05h35m12.50s -05d14m32.49s,0.2089,61.6304,Minkowskian Baseline,5.67,MATCH: 2MASS J05351214-0514303 (LM*),,
05h34m53.39s -05d34m04.10s,0.188,58.3561,Minkowskian Baseline,17.73,MATCH: 2MASS J05345284-0533483 (Or*),,
05h34m09.20s -05d37m00.07s,0.1883,262.5346,Minkowskian Baseline,12.46,MATCH: [SKN2015] C18O-Ori  13 (MoC),,
05h36m24.11s -05d23m35.08s,0.2579,79.7765,Gasious Substrate Schema,12.25,MATCH: [H97b]  5104 (*),,
05h35m31.38s -05d29m41.37s,0.5132,113.7696,Metric Spacetime Anomaly,4.21,MATCH: [DRS2009] 2079 (V*),,
05h35m06.21s -05d35m24.00s,0.2628,118.1032,Gasious Substrate Schema,6.91,MATCH: 2MASS J05350576-0535220 (Or*),,
05h35m47.05s -05d05m59.16s,0.255,149.7763,Gasious Substrate Schema,14.09,MATCH: 2MASS J05354701-0506133 (NIR),,
05h34m51.00s -05d21m28.91s,0.3353,66.7761,Helical Metric Schema,13.97,MATCH: 2MASS J05345031-0521193 (V*),,
05h34m57.55s -05d04m14.49s,0.5251,35.6718,Metric Spacetime Anomaly,14.7,MATCH: TKK   239 (IR),,
05h35m03.46s -05d14m27.98s,0.3278,75.7649,Helical Metric Schema,34.14,MATCH: 2MASS J05350307-0513543 (*),,
05h36m35.22s -05d17m09.78s,0.2058,118.2114,Minkowskian Baseline,46.23,MATCH: V* V367 Ori (TT*),,
05h35m59.75s -05d16m07.39s,0.2344,71.3514,Gasious Substrate Schema,17.35,MATCH: 2MASS J05360090-0516063 (*),,
05h35m10.04s -05d05m02.24s,0.2335,108.8509,Gasious Substrate Schema,25.36,MATCH: 2MASS J05351145-0505162 (LM*),,
05h35m36.78s -05d22m16.05s,0.4206,367.9286,Localized Torsional Inflection,12.51,MATCH: [SRB2015] p138 (Y*O),,
05h34m17.43s -05d07m10.29s,0.4793,31.3041,Metric Spacetime Anomaly,22.08,MATCH: [RHS2000] 1-551 (*),,
05h36m04.12s -05d17m10.90s,0.3892,31.8843,Trefoil Metric Schema,16.87,MATCH: [H97b] 21024 (V*),,
05h35m01.04s -05d41m17.47s,0.5396,270.0565,Localized Torsional Inflection,5.83,MATCH: V* V2108 Ori (Or*),,
05h35m26.27s -05d18m05.64s,0.2172,2.4006,Minkowskian Baseline,7.75,MATCH: COUP J053525.8-051809 (X),,
05h34m05.93s -05d40m15.59s,0.2321,706.4775,Localized Torsional Inflection,38.2,MATCH: [MGM2012] 1313 (IR),,
05h35m32.68s -05d36m30.87s,0.8594,40.3168,Baryonic Metric Substrate,13.24,MATCH: 2MASS J05353352-0536342 (*),,
05h36m41.84s -05d24m47.42s,0.3583,13.4887,Helical Metric Schema,38.36,MATCH: 2MASS J05363992-0525128 (*),,
05h34m38.25s -05d40m39.28s,0.2751,3.4072,Gasious Substrate Schema,23.73,MATCH: [ISK2007] 1 (cor),,
05h34m33.57s -05d20m23.58s,0.3391,296.0745,Helical Metric Schema,17.17,MATCH: 2MASS J05343249-0520299 (V*),,
05h35m41.46s -05d13m08.40s,0.589,245.1617,Metric Spacetime Anomaly,9.5,MATCH: Parenago  2156 (Or*),,
05h35m25.56s -05d31m49.04s,0.5776,80.0884,Metric Spacetime Anomaly,11.51,MATCH: HH  502S9 (HH),,
05h35m55.29s -05d07m23.69s,0.3098,41.5041,Solenoidal Metric Schema (Iron),29.39,MATCH: 2MASS J05355723-0507223 (*),,
05h34m59.71s -05d06m48.25s,0.1924,53.1562,Minkowskian Baseline,26.99,MATCH: [TUH98] FC-2 (PoC),,
05h34m15.56s -05d04m55.17s,0.8243,281.1684,Baryonic Metric Substrate,5.72,MATCH: ESO-HA  909 (TT*),,
05h35m27.31s -05d09m11.88s,0.1847,450.3512,Minkowskian Baseline,5.85,MATCH: [SMZ2002] Outflow 18 (PoC),,
05h35m47.39s -05d27m04.61s,0.4298,178.9059,Trefoil Metric Schema,35.83,MATCH: 2MASS J05354508-0526543 (Y*O),,
05h35m29.59s -05d20m51.87s,0.3124,16.6113,Solenoidal Metric Schema (Iron),16.06,MATCH: GBS-VLA J053528.56-052056.5 (Rad),,
05h34m53.89s -05d29m56.17s,0.2733,173.2288,Gasious Substrate Schema,7.82,MATCH: [SKN2015] AzTEC-Ori 198 (mm),,
05h36m32.96s -05d13m05.97s,0.2701,452.031,Localized Torsional Inflection,85.08,MATCH: 2MASS J05363145-0511438 (*),,
05h34m21.21s -05d37m00.83s,0.1938,237.5978,Minkowskian Baseline,38.66,MATCH: V* V1944 Ori (Or*),,
05h35m55.42s -05d31m06.62s,0.2459,121.6388,Localized Torsional Inflection,19.99,MATCH: [SRB2015] s81 (Y*O),,
05h35m27.09s -05d04m27.88s,0.304,39.2236,Solenoidal Metric Schema (Iron),21.08,MATCH: 2MASS J05352694-0504069 (Y*O),,
05h36m10.86s -05d05m24.09s,1.3148,33.7957,Metric Spacetime Anomaly,17.4,MATCH: V* V1599 Ori (Or*),,
05h35m19.65s -05d30m25.27s,1.7216,30.8844,Metric Spacetime Anomaly,7.71,MATCH: 2MASS J05351986-0530321 (TT*),,
