SECTOR A,Singularities,,,,,ANALYSIS,
17h45m37.66s -29d00m19.52s,1.6379,89.2459,Spacetime Curvature Limit (Black Hole),1.4,MATCH: [FJ95] 25 (*),,
17h45m36.08s -29d00m14.29s,0.299,250.0624,Solenoidal Metric Schema (Iron),3.47,MATCH: [NS2013] 52 (*),,
17h45m38.06s -28d59m42.85s,0.334,19.3967,Helical Metric Schema,3.85,MATCH: [BSD96]  11 (*),,
17h45m35.18s -29d00m22.85s,0.3002,171.7532,Solenoidal Metric Schema (Iron),6.47,MATCH: CXOGC J174535.6-290020 (X),,
17h45m41.08s -28d59m26.62s,0.2138,236.0652,Minkowskian Baseline,2.83,MATCH: CXOGC J174541.0-285929 (X),,
17h45m41.48s -28d59m47.55s,0.2155,74.6753,Minkowskian Baseline,2.48,MATCH: [BSD96] 118 (*),,
17h45m38.08s -29d00m08.18s,0.236,87.6809,Gasious Substrate Schema,2.82,MATCH: [BSD96]  10 (*),,
17h45m37.75s -29d01m32.55s,0.2515,239.5527,Gasious Substrate Schema,1.45,MATCH: CXOGC J174537.7-290134 (X),,
17h45m40.40s -29d01m25.82s,0.6014,255.9683,Metric Spacetime Anomaly,3.41,MATCH: CXOU J174540.1-290125 (X),,
17h45m42.78s -29d01m04.09s,0.4636,50.0759,Metric Spacetime Anomaly,1.66,MATCH: [BSD96] 202 (*),,
17h45m39.16s -29d01m31.68s,1.3068,39.3006,Metric Spacetime Anomaly,2.88,MATCH: CXOU J174538.9-290133 (X),,
17h45m37.14s -29d00m32.85s,0.3357,13.8208,Helical Metric Schema,3.45,MATCH: [NS2013] 47 (*),,
17h45m41.76s -28d59m58.27s,0.9174,147.3848,Baryonic Metric Substrate,2.62,MATCH: [BSD96] 117 (*),,
17h45m37.23s -29d00m50.29s,0.3167,75.4398,Solenoidal Metric Schema (Iron),0.79,MATCH: CXOGC J174537.2-290049 (X),,
17h45m43.11s -28d59m31.95s,1.6969,47.4853,Metric Spacetime Anomaly,1.84,MATCH: CXOGC J174542.9-285931 (X),,
17h45m44.00s -29d00m26.39s,0.4198,336.2001,Localized Torsional Inflection,1.6,MATCH: OH 359.952-00.058 (OH?),,
17h45m36.45s -28d59m38.52s,0.2576,90.1029,Gasious Substrate Schema,5.33,MATCH: CXOGC J174536.1-285942 (X),,
17h45m42.61s -29d00m24.58s,0.5965,369.9827,Metric Spacetime Anomaly,2.72,MATCH: [MES2015] 1360 (smm),,
17h45m37.69s -29d01m15.57s,0.212,13.0645,Minkowskian Baseline,2.19,MATCH: [FJ95] 36 (*),,
17h45m45.57s -29d00m19.25s,0.3389,195.0648,Helical Metric Schema,4.49,MATCH: CXOGC J174545.7-290015 (X),,
17h45m44.44s -29d00m40.35s,0.2386,129.5871,Gasious Substrate Schema,3.07,MATCH: CXOGC J174544.5-290037 (X),,
17h45m42.82s -29d00m35.29s,0.3865,8.2698,Trefoil Metric Schema,6.71,MATCH: [SSJ82] Star B (*),,
17h45m37.52s -29d00m04.37s,0.5397,12.6573,Metric Spacetime Anomaly,1.57,MATCH: [BSD96] 152 (*),,
17h45m40.00s -29d00m53.20s,0.2674,54.8318,Gasious Substrate Schema,0.28,MATCH: [FNS2015] 280 (*),,
17h45m37.42s -28d59m55.07s,0.3735,58.0041,Trefoil Metric Schema,0.73,MATCH: [MES2015] 1357 (smm),,
17h45m45.03s -28d59m53.36s,0.2632,38.2451,Gasious Substrate Schema,2.66,MATCH: CXOU J174544.8-285953 (X),,
17h45m36.69s -28d59m58.65s,0.5596,5.5517,Metric Spacetime Anomaly,4.89,MATCH: CXOGC J174536.5-285954 (X),,
17h45m43.28s -29d01m06.54s,0.3364,13.9586,Helical Metric Schema,4.08,MATCH: [BSD96] 134 (*),,
17h45m38.66s -28d59m22.43s,0.5337,85.3526,Metric Spacetime Anomaly,6.25,MATCH: CXOGC J174538.7-285928 (X),,
17h45m35.66s -29d00m35.96s,1.1894,209.647,Baryonic Metric Substrate,1.04,MATCH: CXOU J174535.6-290034 (X),,
17h45m41.89s -29d00m12.99s,0.4054,128.4363,Trefoil Metric Schema,1.05,MATCH: [FNS2015] 1110 (*),,
17h45m35.15s -29d00m49.14s,0.248,93.3269,Gasious Substrate Schema,1.38,MATCH: CXOGC J174535.2-290048 (X),,
17h45m37.51s -29d00m50.81s,0.2505,60.9352,Gasious Substrate Schema,1.74,MATCH: [FJ95] 12 (*),,
17h45m41.61s -28d59m43.91s,0.3688,74.2148,Trefoil Metric Schema,1.49,MATCH: [MES2015] 1365 (smm),,
17h45m40.59s -29d00m47.81s,0.279,29.7914,Gasious Substrate Schema,0.97,MATCH: [BSD96]  99 (*),,
17h45m37.12s -28d59m38.65s,0.2516,41.1532,Gasious Substrate Schema,10.06,MATCH: CXOGC J174537.5-285930 (X),,
17h45m42.86s -29d01m13.66s,0.2525,259.0667,Localized Torsional Inflection,4.58,MATCH: [BSD96] 204 (*),,
17h45m37.24s -29d00m45.32s,0.1827,32.227,Minkowskian Baseline,0.34,MATCH: [GMC2001]  3-270 (Mi*),,
17h45m36.54s -29d00m42.98s,0.1769,69.6705,Minkowskian Baseline,2.89,MATCH: [MBB2008] G359.933-0.037 (X),,
17h45m38.40s -29d00m05.64s,0.343,108.2263,Helical Metric Schema,2.01,MATCH: [BSD96]   9 (*),,
17h45m39.45s -28d59m59.67s,0.7085,27.9668,Metric Spacetime Anomaly,0.88,MATCH: [JDW2009] G359.95-0.04 (X),,
17h45m41.43s -29d00m12.63s,0.2759,101.8677,Gasious Substrate Schema,0.51,MATCH: [FNS2015] 5488 (*),,
17h45m35.19s -29d01m14.82s,0.4544,201.503,Metric Spacetime Anomaly,0.86,MATCH: [MES2015] 1349 (smm),,
17h45m41.21s -28d59m46.94s,0.3741,17.5625,Trefoil Metric Schema,4.67,MATCH: CXOU J174541.5-285945 (X),,
17h45m43.14s -29d00m28.78s,0.3276,67.3754,Helical Metric Schema,0.38,MATCH: [BSD96] 206 (*),,
17h45m43.33s -29d00m15.20s,1.8149,12.1173,Metric Spacetime Anomaly,3.28,MATCH: [GMC2001]  3-16 (Mi*),,
17h45m36.12s -29d00m30.15s,0.4035,10.6828,Trefoil Metric Schema,2.66,MATCH: CXOGC J174536.3-290030 (X),,
17h45m38.76s -29d00m11.61s,0.2147,177.328,Minkowskian Baseline,1.27,MATCH: [BSD96]  16 (*),,
17h45m37.89s -29d01m03.46s,1.8568,8.9757,Metric Spacetime Anomaly,1.9,MATCH: CXOGC J174537.7-290104 (X),,
17h45m41.00s -29d01m30.63s,0.8409,11.9969,Baryonic Metric Substrate,1.24,MATCH: [FJ95]  8 (*),,
17h45m41.84s -29d00m14.11s,0.2414,58.8507,Gasious Substrate Schema,1.28,MATCH: [FNS2015] 1230 (*),,
17h45m36.74s -28d59m56.17s,0.2193,14.059,Minkowskian Baseline,3.44,MATCH: CXOGC J174536.5-285954 (X),,
17h45m42.81s -28d59m42.05s,0.2377,244.4543,Gasious Substrate Schema,0.88,MATCH: [BSD96] 129 (*),,
17h45m44.38s -29d01m18.29s,0.2036,12.6986,Minkowskian Baseline,1.4,MATCH: OH 359.939-00.067 (Mas),,
17h45m42.66s -29d00m09.54s,1.8345,12.4656,Metric Spacetime Anomaly,0.73,MATCH: [RRT2017] GC 11473 (*),,
17h45m39.04s -29d01m45.22s,0.1847,141.8962,Minkowskian Baseline,1.33,MATCH: NAME IGR J17456-2901b (gam),,
17h45m44.63s -29d00m10.01s,0.4235,137.6784,Trefoil Metric Schema,2.37,MATCH: [BSD96] 214 (*),,
17h45m37.58s -29d00m38.88s,0.2286,205.8985,Gasious Substrate Schema,0.82,MATCH: [BSD96] 153 (*),,
17h45m36.18s -29d01m08.10s,0.3645,58.3865,Trefoil Metric Schema,0.2,MATCH: CXOGC J174536.1-290107 (X),,
17h45m43.27s -29d01m08.68s,1.0754,343.4343,Localized Torsional Inflection,2.94,MATCH: [BSD96] 204 (*),,
17h45m41.36s -28d59m19.15s,0.1873,142.9538,Minkowskian Baseline,2.11,MATCH: [NS2013] 59 (*),,
17h45m39.22s -29d00m09.97s,0.2357,123.1231,Gasious Substrate Schema,0.07,MATCH: [FNS2015] 12592 (*),,
17h45m36.82s -29d01m14.19s,0.203,172.9077,Minkowskian Baseline,2.82,MATCH: CXOGC J174536.8-290117 (X),,
17h45m42.88s -29d00m49.43s,0.2129,0.1595,Minkowskian Baseline,3.04,MATCH: CXOGC J174543.1-290049 (X),,
17h45m36.29s -29d00m42.60s,0.1983,0.4232,Minkowskian Baseline,1.1,MATCH: [MKN2009] 582 (LP*),,
17h45m43.37s -29d00m10.80s,0.4296,98.4878,Trefoil Metric Schema,1.33,MATCH: [BSD96] 138 (*),,
17h45m37.36s -29d00m54.03s,0.4719,12.3596,Metric Spacetime Anomaly,2.35,MATCH: [FJ95] 12 (*),,
17h45m42.34s -29d00m23.30s,0.2322,140.8205,Gasious Substrate Schema,3.59,MATCH: [FNS2015] 1552 (*),,
17h45m39.35s -29d00m20.50s,0.3374,34.7488,Helical Metric Schema,0.24,MATCH: MPE -8.7+01.8 (*),,
17h45m44.08s -29d01m11.23s,0.5082,81.2736,Metric Spacetime Anomaly,4.36,MATCH: CXOGC J174543.9-290107 (X),,
17h45m35.09s -28d59m46.17s,0.1951,19.552,Minkowskian Baseline,6.87,MATCH: CXOGC J174535.5-285941 (X),,
17h45m36.47s -29d01m12.61s,0.3728,62.9371,Trefoil Metric Schema,1.78,MATCH: CXOGC J174536.3-290111 (X),,
17h45m44.17s -29d00m25.42s,0.5776,119.1365,Metric Spacetime Anomaly,1.69,MATCH: [PDT2018] G359.953-00.059 (smm),,
17h45m41.45s -28d59m39.89s,0.3044,435.7686,Solenoidal Metric Schema (Iron),0.56,MATCH: [MES2015] 1367 (smm),,
17h45m38.51s -29d00m50.70s,0.3773,154.0539,Trefoil Metric Schema,0.48,MATCH: [FNS2015] 1207 (*),,
17h45m41.87s -29d00m22.90s,0.4869,0.8107,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 3290 (*),,
17h45m41.08s -29d01m43.21s,0.4237,41.8838,Trefoil Metric Schema,4.93,MATCH: CXOGC J174540.7-290141 (X),,
17h45m37.94s -28d59m22.98s,0.4631,0.3053,Metric Spacetime Anomaly,3.5,MATCH: OH 359.955-00.031 (OH*),,
17h45m38.29s -28d59m56.09s,0.3634,375.3491,Trefoil Metric Schema,3.1,MATCH: [BSD96]  14 (*),,
17h45m41.21s -28d59m17.60s,0.4933,221.2975,Metric Spacetime Anomaly,4.05,MATCH: [NS2013] 59 (*),,
17h45m42.15s -29d01m05.69s,0.5019,68.7935,Metric Spacetime Anomaly,4.99,MATCH: [BSD96] 199 (*),,
17h45m45.06s -29d00m39.19s,0.6014,132.6654,Metric Spacetime Anomaly,4.72,MATCH: CXOGC J174544.6-290039 (X),,
17h45m40.64s -29d00m48.48s,0.3376,74.1989,Helical Metric Schema,1.38,MATCH: [BSD96]  99 (*),,
17h45m42.75s -29d00m01.17s,1.3564,30.966,Metric Spacetime Anomaly,3.55,MATCH: GCIRS 23 (OH*),,
17h45m38.98s -29d00m52.15s,0.2633,324.2122,Gasious Substrate Schema,1.95,MATCH: CXOU J174539.1-290053 (X),,
17h45m40.00s -29d01m15.10s,1.1728,4.9571,Baryonic Metric Substrate,4.4,MATCH: [BSD96] 180 (*),,
17h45m41.06s -29d00m59.81s,0.1778,252.0982,Minkowskian Baseline,2.98,MATCH: NAME GCT (Rad),,
17h45m36.63s -29d00m09.26s,0.1863,97.3203,Minkowskian Baseline,1.15,MATCH: CXOGC J174536.5-290010 (X),,
17h45m40.17s -29d01m30.93s,0.3933,159.3883,Trefoil Metric Schema,5.15,MATCH: CXOU J174540.1-290125 (X),,
17h45m35.09s -29d00m38.31s,0.2128,21.6268,Minkowskian Baseline,3.46,MATCH: CXOGC J174534.8-290040 (X),,
17h45m42.10s -28d59m50.87s,0.4202,32.0698,Trefoil Metric Schema,3.94,MATCH: [BSD96] 124 (*),,
17h45m35.98s -28d59m51.73s,0.5568,21.2975,Metric Spacetime Anomaly,0.8,MATCH: SSTGC 514262 (LP*),,
17h45m41.32s -29d00m34.50s,0.1973,9.9292,Minkowskian Baseline,0.19,MATCH: [FNS2015] 741 (*),,
17h45m39.06s -29d00m18.72s,0.3971,73.4566,Trefoil Metric Schema,2.24,MATCH: [YRW2013] 27 (out),,
17h45m37.73s -29d00m05.52s,0.2388,36.8072,Gasious Substrate Schema,2.57,MATCH: [BSD96] 155 (*),,
17h45m36.17s -28d59m59.34s,0.2722,183.7834,Gasious Substrate Schema,1.74,MATCH: CXOGC J174536.3-285959 (X),,
17h45m39.63s -29d00m18.19s,0.2719,14.3269,Gasious Substrate Schema,0.39,MATCH: [GKM98] S11-15 (*),,
17h45m35.08s -28d59m53.19s,0.3802,92.4467,Trefoil Metric Schema,7.41,MATCH: CXOGC J174534.4-285951 (X),,
17h45m43.33s -29d01m22.43s,0.2689,30.3272,Gasious Substrate Schema,3,MATCH: [MKN2009] 687 (LP*),,
17h45m41.16s -29d00m57.83s,1.2523,40.3961,Metric Spacetime Anomaly,0.83,MATCH: [MES2015] 1353 (smm),,
17h45m40.39s -28d59m55.35s,0.3971,12.7069,Trefoil Metric Schema,0.72,MATCH: [FNS2015] 450 (*),,
17h45m38.68s -28d59m52.17s,0.3879,24.0097,Trefoil Metric Schema,0.81,MATCH: CXOGC J174538.6-285952 (X),,
17h45m41.21s -29d00m41.32s,0.237,253.7152,Localized Torsional Inflection,1.17,MATCH: [FNS2015] 1060 (*),,
17h45m41.63s -28d59m55.52s,0.3363,92.6364,Helical Metric Schema,2.59,MATCH: [BSD96] 117 (*),,
17h45m37.48s -28d59m53.82s,0.2623,36.9507,Gasious Substrate Schema,1.97,MATCH: [MES2015] 1357 (smm),,
17h45m39.48s -29d00m08.40s,0.2959,37.583,Solenoidal Metric Schema (Iron),0.29,MATCH: [NS2013] 34 (*),,
17h45m40.02s -29d01m39.40s,0.197,187.0261,Minkowskian Baseline,4.53,MATCH: 1LC 359.927-0.055 (Rad),,
17h45m37.68s -29d00m52.87s,0.6005,108.6473,Metric Spacetime Anomaly,2.85,MATCH: [BSD96] 159 (*),,
17h45m42.00s -28d59m35.14s,0.4522,187.0829,Metric Spacetime Anomaly,4.94,MATCH: CXOU J174541.6-285933 (X),,
17h45m40.21s -29d01m17.29s,0.8485,39.5349,Baryonic Metric Substrate,6.92,MATCH: CXOGC J174540.7-290115 (X),,
17h45m42.14s -29d01m05.51s,0.2456,1020.0672,Localized Torsional Inflection,4.88,MATCH: [BSD96] 199 (*),,
17h45m38.63s -29d01m36.43s,0.4388,73.8561,Trefoil Metric Schema,0.62,MATCH: [NS2013] 58 (*),,
17h45m36.81s -29d00m49.82s,0.2469,17.9322,Gasious Substrate Schema,2.01,MATCH: [MBB2008] G359.933-0.039 (X),,
17h45m41.54s -28d59m41.21s,0.2438,151.9029,Gasious Substrate Schema,2.19,MATCH: [MES2015] 1367 (smm),,
17h45m41.03s -29d00m55.24s,0.4112,232.4624,Trefoil Metric Schema,1.25,MATCH: CXOGC J174540.9-290056 (X),,
17h45m38.45s -29d01m41.53s,0.2999,88.9543,Solenoidal Metric Schema (Iron),2.43,MATCH: CXOGC J174538.6-290142 (X),,
17h45m38.70s -29d00m48.60s,0.5544,339.2207,Localized Torsional Inflection,1.43,MATCH: [FNS2015] 1826 (*),,
17h45m34.91s -29d00m37.90s,0.4082,96.286,Trefoil Metric Schema,2.53,MATCH: CXOGC J174534.8-290040 (X),,
17h45m41.92s -29d00m26.70s,0.1942,532.1064,Minkowskian Baseline,0.36,MATCH: [FNS2015] 751 (*),,
17h45m38.96s -29d00m58.39s,0.2461,66.8931,Gasious Substrate Schema,0.32,MATCH: 2MASS J17453893-2900584 (*),,
17h45m39.56s -28d59m36.70s,0.2828,55.8362,Solenoidal Metric Schema (Iron),1.55,MATCH: SSTGC 523937 (LP*),,
17h45m37.75s -29d00m48.24s,0.462,120.855,Metric Spacetime Anomaly,0.7,MATCH: [FNS2015] 606 (*),,
17h45m44.27s -28d59m59.50s,0.3977,0.439,Trefoil Metric Schema,2.41,MATCH: CXOGC J174544.4-290001 (X),,
17h45m44.83s -29d00m09.65s,0.4268,32.7158,Trefoil Metric Schema,0.3,MATCH: [BSD96] 214 (*),,
17h45m42.75s -29d00m01.71s,0.3825,7.5908,Trefoil Metric Schema,4.08,MATCH: GCIRS 23 (OH*),,
17h45m39.51s -28d59m45.01s,0.3083,27.2164,Solenoidal Metric Schema (Iron),2.18,MATCH: [BSD96] 176 (*),,
17h45m37.15s -29d01m32.11s,0.5235,76.5426,Metric Spacetime Anomaly,4.88,MATCH: CXOGC J174536.8-290135 (X),,
17h45m37.25s -29d00m00.34s,0.2743,75.2451,Gasious Substrate Schema,5.09,MATCH: CXOGC J174537.0-285955 (X),,
17h45m39.20s -28d59m54.02s,0.6253,80.6732,Metric Spacetime Anomaly,3.18,MATCH: CXOGC J174539.0-285956 (X),,
17h45m39.99s -28d59m28.66s,0.4333,3.4921,Trefoil Metric Schema,2.14,MATCH: [FJ95] 47 (*),,
17h45m37.69s -29d01m28.87s,0.3093,0.5483,Solenoidal Metric Schema (Iron),2.25,MATCH: CXOGC J174537.7-290130 (X),,
17h45m35.36s -29d00m04.67s,0.1492,277.0822,Minkowskian Baseline,3.3,MATCH: SSTGC 512700 (Mi*),,
17h45m39.37s -28d59m29.52s,0.2485,1.6732,Gasious Substrate Schema,3.94,MATCH: CXOGC J174539.0-285929 (X),,
17h45m38.52s -29d00m43.75s,0.4375,31.4914,Trefoil Metric Schema,1.39,MATCH: CXOU J174538.4-290044 (X),,
17h45m42.15s -29d01m03.18s,0.2424,24.9407,Gasious Substrate Schema,2.86,MATCH: [BSD96] 199 (*),,
17h45m35.91s -28d59m39.95s,0.5567,127.7117,Metric Spacetime Anomaly,3.86,MATCH: [MES2015] 1359 (smm),,
17h45m37.09s -28d59m52.81s,0.3845,51.4024,Localized Torsional Inflection,3.11,MATCH: CXOGC J174537.0-285955 (X),,
17h45m36.22s -29d00m32.44s,0.3329,40.147,Helical Metric Schema,2.26,MATCH: CXOGC J174536.3-290030 (X),,
17h45m39.80s -28d59m58.17s,0.2449,14.7322,Gasious Substrate Schema,0.89,MATCH: [FNS2015] 1908 (*),,
17h45m38.90s -29d00m31.17s,0.1828,239.6451,Minkowskian Baseline,0.3,MATCH: [FNS2015] 1614 (*),,
17h45m42.88s -29d01m05.08s,0.227,23.678,Gasious Substrate Schema,0.02,MATCH: [BSD96] 202 (*),,
17h45m41.21s -28d59m32.55s,0.3044,5.7566,Solenoidal Metric Schema (Iron),2.6,MATCH: CXOU J174541.2-285929 (X),,
17h45m40.29s -28d59m42.48s,0.2726,27.5648,Gasious Substrate Schema,1.49,MATCH: OH 359.955-00.040 (Mas),,
17h45m37.54s -28d59m46.55s,0.5499,520.8985,Localized Torsional Inflection,1.32,MATCH: [NS2013] 51 (*),,
17h45m41.58s -29d00m50.62s,0.4257,29.3936,Trefoil Metric Schema,4.07,MATCH: [BSD96] 119 (*),,
17h45m41.74s -29d00m50.27s,0.2663,279.4146,Localized Torsional Inflection,2.49,MATCH: OH 359.943-00.055 (OH?),,
