SECTOR E,Null Control,,,,,ANALYSIS,
14h49m51.72s +45d59m52.94s,0.2692,11.9421,Gasious Substrate Schema,140.52,MATCH: FIRST J145005.1+460007 (AG?),Number of Close Matches(OFFSET < 1 arcsecond),0
14h49m50.68s +45d59m51.42s,0.241,21.5655,Gasious Substrate Schema,151.45,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m51.87s +46d00m02.35s,0.2225,106.7641,Gasious Substrate Schema,138.32,MATCH: FIRST J145005.1+460007 (AG?),No SIMBAD Match,0
14h49m45.00s +46d00m06.81s,0.3261,97.0585,Helical Metric Schema,140.57,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.61s +46d00m12.98s,2.0328,175.4616,Spacetime Curvature Limit (Black Hole),169.39,MATCH: SDSS J144937.27+455811.5 (QSO),Structure Type,Count
14h49m44.91s +45d59m44.87s,0.7745,19.4432,Metric Spacetime Anomaly,122.62,MATCH: SDSS J144937.27+455811.5 (QSO),Gasious Substrate Schema,101
14h49m48.14s +46d00m03.47s,0.2522,50.0155,Gasious Substrate Schema,159.19,MATCH: SDSS J144937.27+455811.5 (QSO),Minkowskian Baseline,69
14h49m48.89s +45d59m36.24s,0.4086,131.9158,Trefoil Metric Schema,147.69,MATCH: SDSS J144948.50+455708.6 (*),Metric Spacetime Anomaly,68
14h49m49.35s +45d59m57.88s,0.381,43.5958,Trefoil Metric Schema,164.73,MATCH: SDSS J144937.27+455811.5 (QSO),Trefoil Metric Schema,52
14h49m50.48s +45d59m37.85s,1.0776,65.9812,Baryonic Metric Substrate,150.66,MATCH: SDSS J144948.50+455708.6 (*),Solenoidal Metric Schema (Iron),47
14h49m46.05s +46d00m01.40s,0.1915,252.899,Minkowskian Baseline,142.91,MATCH: SDSS J144937.27+455811.5 (QSO),Helical Metric Schema,35
14h49m49.88s +46d00m02.81s,0.3184,53.2609,Solenoidal Metric Schema (Iron),159.03,MATCH: FIRST J145005.1+460007 (AG?),Localized Torsional Inflection,27
14h49m44.80s +46d00m13.62s,0.205,31.6203,Minkowskian Baseline,142.91,MATCH: SDSS J144931.71+455931.5 (WD*),Baryonic Metric Substrate,14
14h49m44.94s +46d00m01.90s,0.2457,81.5165,Gasious Substrate Schema,136.2,MATCH: SDSS J144937.27+455811.5 (QSO),Spacetime Curvature Limit (Black Hole),5
14h49m45.49s +45d59m47.54s,0.3166,65.881,Localized Torsional Inflection,128.6,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.32s +45d59m32.45s,0.503,116.4409,Metric Spacetime Anomaly,132.29,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.17s +45d59m43.60s,0.3272,16.1067,Helical Metric Schema,138.21,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.59s +46d00m22.70s,0.3511,22.8447,Helical Metric Schema,169.55,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.48s +46d00m11.17s,0.2394,16.2761,Gasious Substrate Schema,153.31,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.58s +46d00m20.38s,0.2562,371.1523,Gasious Substrate Schema,152.26,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.34s +45d59m29.72s,0.2205,127.6093,Gasious Substrate Schema,141.38,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m47.48s +45d59m52.11s,0.4714,107.8093,Localized Torsional Inflection,146.35,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.08s +45d59m47.59s,0.175,119.3384,Minkowskian Baseline,147.98,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.78s +46d00m10.12s,0.4152,120.7152,Trefoil Metric Schema,148.01,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.33s +46d00m00.96s,0.1948,100.4604,Minkowskian Baseline,158.87,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.47s +46d00m24.11s,0.2557,2.8243,Gasious Substrate Schema,164.13,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.27s +45d59m33.83s,0.4655,15.5161,Metric Spacetime Anomaly,117.08,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.70s +46d00m20.00s,0.1933,41.0606,Minkowskian Baseline,161.36,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.58s +46d00m32.86s,0.3113,33.1146,Solenoidal Metric Schema (Iron),176.53,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m47.99s +46d00m25.57s,0.5244,419.0621,Localized Torsional Inflection,174.42,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.64s +45d59m52.78s,0.2883,9.1391,Solenoidal Metric Schema (Iron),141.36,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m50.76s +46d00m18.41s,0.3103,8.6977,Solenoidal Metric Schema (Iron),150.23,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.93s +45d59m55.55s,0.2381,98.3921,Gasious Substrate Schema,158.88,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.16s +45d59m46.44s,0.268,46.3644,Gasious Substrate Schema,125.5,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.72s +46d00m17.10s,0.2531,316.2257,Localized Torsional Inflection,153.09,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m47.39s +45d59m27.18s,0.2006,25.5974,Minkowskian Baseline,129.73,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.76s +46d00m25.60s,0.2487,47.8421,Gasious Substrate Schema,161.29,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.90s +45d59m56.17s,0.3116,63.5197,Solenoidal Metric Schema (Iron),152.32,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.68s +45d59m32.44s,0.3365,49.7814,Helical Metric Schema,135.27,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.86s +46d00m10.43s,0.1959,201.4798,Minkowskian Baseline,159.22,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.98s +45d59m31.20s,0.3675,89.1085,Trefoil Metric Schema,142.68,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m46.67s +45d59m58.88s,0.2135,87.5622,Minkowskian Baseline,145.26,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.22s +46d00m34.79s,0.2342,22.5749,Gasious Substrate Schema,168.14,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.10s +45d59m34.68s,0.1912,106.699,Minkowskian Baseline,146.21,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m50.37s +46d00m00.64s,0.2358,80.8717,Localized Torsional Inflection,154,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.11s +46d00m29.04s,0.2246,39.6847,Gasious Substrate Schema,160.85,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m50.65s +46d00m00.02s,0.2679,45.8703,Gasious Substrate Schema,151.12,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m50.44s +45d59m50.30s,0.6192,43.4625,Metric Spacetime Anomaly,154.06,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m51.09s +45d59m41.57s,0.4172,127.9973,Trefoil Metric Schema,148.58,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.08s +46d00m14.85s,0.305,217.6835,Solenoidal Metric Schema (Iron),160.11,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.38s +46d00m01.39s,0.344,76.1298,Helical Metric Schema,159.54,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.78s +45d59m25.53s,0.3964,92.838,Trefoil Metric Schema,123.63,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.59s +46d00m19.99s,0.397,76.3705,Trefoil Metric Schema,167.46,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.32s +46d00m24.13s,0.2704,2.8746,Gasious Substrate Schema,161.22,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m47.39s +45d59m35.20s,0.2208,72.1465,Gasious Substrate Schema,134.56,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.47s +46d00m18.43s,0.3695,303.5001,Localized Torsional Inflection,151.01,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m46.63s +45d59m55.21s,0.577,62.1122,Localized Torsional Inflection,142.28,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.34s +46d00m01.19s,0.2542,75.9756,Gasious Substrate Schema,159.1,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.09s +46d00m32.46s,0.3228,177.9717,Helical Metric Schema,169.11,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.62s +46d00m28.32s,0.6153,266.097,Metric Spacetime Anomaly,174.13,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.32s +46d00m12.05s,0.243,57.7777,Gasious Substrate Schema,154.47,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.96s +46d00m26.89s,1.311,112.3942,Metric Spacetime Anomaly,169.71,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.71s +45d59m40.11s,0.4137,372.7693,Trefoil Metric Schema,148.46,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.65s +46d00m25.29s,0.202,160.5141,Minkowskian Baseline,171.95,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.02s +46d00m20.75s,0.3382,195.4078,Helical Metric Schema,147.73,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.61s +46d00m26.08s,0.4354,81.1969,Trefoil Metric Schema,162.89,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.27s +46d00m12.86s,0.2014,60.8329,Minkowskian Baseline,166.85,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.56s +45d59m34.95s,0.2909,40.2334,Solenoidal Metric Schema (Iron),135.8,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.43s +45d59m28.50s,0.325,75.1238,Helical Metric Schema,130.84,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.69s +46d00m35.82s,0.3384,33.229,Helical Metric Schema,178.64,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m49.35s +46d00m10.76s,0.3935,9.0771,Trefoil Metric Schema,164.54,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.49s +45d59m47.55s,0.2574,72.4037,Gasious Substrate Schema,143.33,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.42s +46d00m12.19s,0.2101,8.8621,Minkowskian Baseline,147.48,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.36s +46d00m05.59s,0.2842,20.4906,Solenoidal Metric Schema (Iron),155.06,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.80s +46d00m00.94s,0.3338,140.8746,Localized Torsional Inflection,154.89,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.18s +45d59m50.69s,0.3329,24.2196,Helical Metric Schema,158.8,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.81s +45d59m49.68s,0.3135,137.1648,Solenoidal Metric Schema (Iron),155.17,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.78s +46d00m20.95s,0.7051,25.1075,Metric Spacetime Anomaly,160.61,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.37s +46d00m24.98s,0.2111,121.5349,Minkowskian Baseline,175.62,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.52s +45d59m49.51s,0.5635,65.403,Metric Spacetime Anomaly,144.88,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.36s +45d59m42.54s,1.0651,53.9114,Baryonic Metric Substrate,123.99,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.19s +46d00m31.84s,0.2044,30.8826,Minkowskian Baseline,167.99,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.83s +45d59m34.00s,0.2683,17.26,Gasious Substrate Schema,145.43,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m48.82s +46d00m17.56s,1.0729,308.529,Baryonic Metric Substrate,170.34,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m50.63s +45d59m50.63s,0.2727,1.002,Gasious Substrate Schema,152.06,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.14s +45d59m34.95s,0.4336,21.38,Trefoil Metric Schema,132.37,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.19s +45d59m54.87s,1.1981,10.648,Baryonic Metric Substrate,153.65,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.05s +45d59m43.19s,0.1909,39.2487,Minkowskian Baseline,144.93,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.22s +45d59m47.00s,0.4858,80.8446,Metric Spacetime Anomaly,156.73,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.06s +46d00m08.38s,0.2318,18.2703,Gasious Substrate Schema,148.41,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.93s +46d00m09.69s,0.377,3.8228,Trefoil Metric Schema,137.64,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.81s +46d00m16.61s,0.2854,114.2737,Localized Torsional Inflection,159.99,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.07s +45d59m55.42s,0.7368,73.9468,Metric Spacetime Anomaly,138.51,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.08s +46d00m00.71s,0.9415,158.6942,Localized Torsional Inflection,156.81,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.13s +46d00m01.43s,0.2448,94.4659,Gasious Substrate Schema,156.47,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.33s +46d00m02.17s,0.2864,96.1842,Solenoidal Metric Schema (Iron),138.84,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.19s +46d00m05.79s,0.4116,11.1687,Trefoil Metric Schema,154.02,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.67s +45d59m59.96s,0.1829,74.4533,Minkowskian Baseline,160.78,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.56s +45d59m57.81s,0.1969,79.2596,Minkowskian Baseline,150.91,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.72s +46d00m14.54s,0.5156,51.2457,Metric Spacetime Anomaly,140,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m50.24s +46d00m12.66s,0.3386,22.119,Helical Metric Schema,155.32,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.37s +46d00m03.34s,0.3917,185.6468,Trefoil Metric Schema,160.81,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.76s +45d59m43.60s,0.2746,65.637,Gasious Substrate Schema,135.06,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.97s +46d00m26.38s,1.0208,270.508,Baryonic Metric Substrate,158.55,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m50.92s +45d59m54.43s,0.3813,22.9902,Trefoil Metric Schema,148.68,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.47s +45d59m57.36s,0.4104,199.0684,Trefoil Metric Schema,157.49,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.29s +45d59m58.06s,1.3942,20.6177,Metric Spacetime Anomaly,142,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.89s +45d59m41.82s,0.232,103.2019,Localized Torsional Inflection,153.9,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m47.78s +46d00m39.36s,0.1763,368.4602,Minkowskian Baseline,180.82,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m48.02s +46d00m07.34s,0.268,6.4688,Gasious Substrate Schema,161.06,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.78s +45d59m49.91s,0.226,211.8318,Gasious Substrate Schema,147.16,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m44.46s +46d00m12.15s,0.2774,78.0288,Gasious Substrate Schema,139.09,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m48.66s +45d59m54.19s,0.3281,0.3449,Helical Metric Schema,156.87,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.71s +46d00m01.83s,0.3567,344.4885,Localized Torsional Inflection,141.01,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.60s +45d59m48.12s,0.2717,6.9468,Gasious Substrate Schema,144.57,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.18s +45d59m36.74s,0.2623,45.8558,Gasious Substrate Schema,148.3,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m46.55s +45d59m31.13s,0.2782,9.2866,Gasious Substrate Schema,125.19,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.47s +46d00m00.50s,0.7069,63.01,Metric Spacetime Anomaly,152.16,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.23s +46d00m13.85s,0.2937,45.2266,Solenoidal Metric Schema (Iron),167.29,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.13s +46d00m18.78s,0.3391,96.0528,Helical Metric Schema,167.2,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.86s +45d59m32.60s,0.2583,55.9976,Gasious Substrate Schema,120.71,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.47s +45d59m51.21s,0.2626,239.2683,Gasious Substrate Schema,143.29,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m51.27s +46d00m21.80s,0.2398,132.3989,Gasious Substrate Schema,145.24,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.49s +45d59m29.98s,0.5055,19.9474,Metric Spacetime Anomaly,141.75,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m50.03s +45d59m55.59s,0.2368,321.2291,Localized Torsional Inflection,157.83,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m51.22s +45d59m59.78s,0.5681,127.495,Metric Spacetime Anomaly,145.2,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.76s +46d00m10.36s,0.1986,91.4927,Minkowskian Baseline,168.63,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m51.12s +46d00m20.82s,0.1652,117.4508,Minkowskian Baseline,146.7,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.90s +46d00m19.19s,0.6103,44.6396,Metric Spacetime Anomaly,162.31,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.09s +45d59m45.88s,0.8515,49.5244,Baryonic Metric Substrate,139.13,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.08s +46d00m30.23s,0.2897,31.0887,Solenoidal Metric Schema (Iron),170.73,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m46.25s +45d59m56.70s,0.6305,51.9569,Metric Spacetime Anomaly,140.71,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.27s +46d00m11.40s,0.2895,33.8086,Solenoidal Metric Schema (Iron),154.97,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.25s +45d59m59.27s,0.2537,20.6018,Gasious Substrate Schema,142.64,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m45.29s +46d00m12.31s,0.5084,86.4324,Metric Spacetime Anomaly,146.81,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.29s +46d00m22.96s,0.1743,43.0993,Minkowskian Baseline,165.88,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m46.75s +46d00m12.26s,0.2425,145.6569,Gasious Substrate Schema,155.93,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m44.64s +45d59m52.59s,0.3214,180.9014,Helical Metric Schema,126.86,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.55s +45d59m53.85s,0.4823,45.2304,Metric Spacetime Anomaly,148.08,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.76s +45d59m44.74s,2.0144,3.0613,Metric Spacetime Anomaly,135.83,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.45s +45d59m35.78s,0.6835,177.9515,Metric Spacetime Anomaly,148.57,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m49.33s +45d59m32.50s,0.2747,14.0261,Gasious Substrate Schema,144.15,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m49.50s +45d59m52.18s,0.4608,15.88,Metric Spacetime Anomaly,162.34,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.04s +46d00m00.98s,0.549,444.0267,Localized Torsional Inflection,157.43,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m48.33s +45d59m53.73s,0.4866,285.587,Metric Spacetime Anomaly,153.98,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.93s +46d00m10.46s,0.8356,50.565,Baryonic Metric Substrate,168.91,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m50.91s +46d00m24.88s,1.704,216.8914,Spacetime Curvature Limit (Black Hole),149.3,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m47.95s +46d00m16.77s,0.1771,337.4262,Minkowskian Baseline,167.48,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.20s +45d59m25.11s,0.3466,9.3521,Helical Metric Schema,135.55,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.67s +46d00m09.79s,0.2234,166.6169,Localized Torsional Inflection,150.77,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m44.93s +46d00m02.69s,0.2081,46.6372,Minkowskian Baseline,136.78,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.62s +45d59m43.83s,0.2303,77.327,Gasious Substrate Schema,155.66,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m45.66s +45d59m54.14s,0.525,158.5641,Metric Spacetime Anomaly,134.74,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.20s +45d59m57.53s,1.0725,187.553,Localized Torsional Inflection,163.31,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.94s +45d59m25.29s,0.6378,19.8167,Metric Spacetime Anomaly,133.38,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.85s +45d59m44.31s,0.2975,44.5556,Solenoidal Metric Schema (Iron),144.04,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.79s +46d00m13.76s,1.9928,184.1412,Spacetime Curvature Limit (Black Hole),164.12,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.65s +46d00m16.74s,0.279,221.7884,Gasious Substrate Schema,165.39,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m48.75s +45d59m55.84s,0.3615,68.1461,Trefoil Metric Schema,158.66,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.65s +45d59m43.87s,0.3715,88.8497,Trefoil Metric Schema,155.72,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m51.61s +46d00m05.42s,0.2062,173.833,Minkowskian Baseline,140.96,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.92s +45d59m51.46s,0.2946,24.646,Solenoidal Metric Schema (Iron),134.51,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.51s +45d59m33.73s,0.2532,175.5955,Gasious Substrate Schema,145.5,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m48.32s +46d00m23.86s,0.308,17.6145,Solenoidal Metric Schema (Iron),175.35,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.33s +45d59m50.68s,0.3932,6.691,Trefoil Metric Schema,144.23,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.79s +46d00m10.91s,0.3759,128.4913,Trefoil Metric Schema,159.96,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.74s +46d00m26.35s,0.2944,25.8784,Solenoidal Metric Schema (Iron),156.29,MATCH: SDSS J144931.71+455931.5 (WD*),,
14h49m45.90s +46d00m11.06s,0.1867,289.1139,Minkowskian Baseline,149.51,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.81s +46d00m07.91s,0.2663,74.2159,Gasious Substrate Schema,159.96,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.69s +45d59m54.12s,0.1905,28.4749,Minkowskian Baseline,149.32,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.13s +46d00m21.30s,0.3258,135.22,Helical Metric Schema,157.01,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m45.99s +45d59m48.32s,0.3244,27.8949,Helical Metric Schema,132.7,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m46.77s +46d00m07.40s,0.4095,138.8295,Trefoil Metric Schema,152.33,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.11s +45d59m30.71s,0.3084,3.6773,Solenoidal Metric Schema (Iron),129.5,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m49.28s +45d59m39.29s,0.2058,292.549,Minkowskian Baseline,150.9,MATCH: SDSS J144948.50+455708.6 (*),,
14h49m47.44s +46d00m23.55s,0.3975,22.5679,Trefoil Metric Schema,169.23,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m47.66s +45d59m52.14s,0.4763,269.4527,Metric Spacetime Anomaly,147.74,MATCH: SDSS J144937.27+455811.5 (QSO),,
14h49m50.21s +46d00m27.72s,0.2551,41.4365,Gasious Substrate Schema,156.89,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.94s +46d00m12.79s,0.2015,0.7086,Minkowskian Baseline,158.45,MATCH: FIRST J145005.1+460007 (AG?),,
14h49m49.76s +46d00m16.10s,0.258,29.4653,Gasious Substrate Schema,160.48,MATCH: FIRST J145005.1+460007 (AG?),,
